"Average monthly income","Maximum monthly income","Minimum monthly income",Month_Year
970.56,2849.97,131,"October 2016"
992.37,3577.88,14.9,"January 2017"
613.54,3303.19,55.9,"February 2017"
673.05,3654.37,49.9,"March 2017"
448.1,1609.9,44.9,"April 2017"
188.37,489,21.52,"May 2017"
424.54,2066.36,80,"June 2017"
355.01,2016,34.9,"July 2017"
511.43,1605.39,19.9,"August 2017"
565.02,2614.96,19.9,"September 2017"
482.22,3014.97,17.91,"October 2017"
741.7,2703,39.9,"November 2017"
453.75,2972,19.9,"December 2017"
630.84,2325,69.8,"January 2018"
712.28,6213.12,17.99,"February 2018"
697.57,4099.99,34.9,"March 2018"
452.46,2491.98,19.99,"April 2018"
283.2,1936,19.9,"May 2018"
493.07,3198,12.99,"June 2018"
514.26,2904,36.2,"July 2018"
300.57,1929,12.99,"August 2018"
