"Merchant ID","TOP 50"
53243585a1d6dc2643021fd1853d8905,217940.44
4869f7a5dfa277a7dca6462dcf3b52b2,203754.43
fa1c13f2614d7b5c4749cbc52fecda94,189312.65
7e93a43ef30c4f03f38b393420bc753a,160645.65
6560211a19b47992c3666cc44a7e94c0,99163
7d13fca15225358621be4086e1eb0964,91993.93
25c5c91f63607446a97b143d2d535d31,52787.08
de722cd6dad950a92b7d4f82673f8833,51898
2bf6a2c1e71bbd29a4ad64e6d3c3629f,50628.9
522620dcb18a6b31cd7bdf73665113a9,49875.29
966cb4760537b1404caedd472cc610a5,45928.26
a1043bafd471dff536d0c462352beb48,45620.56
ea8482cd71df3c1969d7b9473ff13abc,36055.99
b33e7c55446eabf8fe1a42d037ac7d6d,35572.5
634964b17796e64304cadf1ad3050fb7,34729.2
2eb70248d66e0e3ef83659f71b244378,32781.88
9c0e69c7bf2619675bbadf47b43f655a,32481.59
88460e8ebdecbfecb5f9601833981930,31320.4
4e922959ae960d389249c378d1c939f5,30039.39
87142160b41353c4e5fca2360caf6f92,28713.18
0b90b6df587eb83608a64ea8b390cf07,28492.76
7681ef142fd2c19048da7430856b5588,27468.92
e9bc59e7b60fc3063eb2290deda4cced,27032.9
17e34d8224d27a541263c4c64b11a56b,25648.92
9f505651f4a6abe901a56cdc21508025,23669.26
2b3e4a2a3ea8e01938cabda2a3e5cc79,23629.15
1c68394e931a64f90ea236c5ea590300,22300.17
70a12e78e608ac31179aea7f8422044b,20907.33
744dac408745240a2c2528fb1b6028f3,20528.6
897060da8b9a21f655304d50fd935913,20508.6
96493fab2fbb13a14d0c0e8772eef5c3,18969
f457c46070d02cadd8a68551231220dd,18798.3
c72de06d72748d1a0dfb2125be43ba63,17522
612170e34b97004b3ba37eae81836b4c,17457.79
d650b663c3b5f6fb392b6326366efa9a,17308.9
c3acdfac4e3e97ff87529454fbc03642,16788
86ccac0b835037332a596a33b6949ee1,15758.47
229c3efbfb0ea2058de4ccdfbc3d784a,15479
8b321bb669392f5163d04c59e235e066,15104.14
e2a1ac9bf33e5549a2a4f834e70df2f8,14999.45
d921b68bf747894be13a97ae52b0f386,14416.2
8e6d7754bc7e0f22c96d255ebda59eba,14107.38
85d9eb9ddc5d00ca9336a2219c97bb13,13939.82
165fc07beebdcb6190fba8a06db2a449,13738.4
a6bd7d1ccdac48c6b33b28596b7eb122,13669.11
7299e27ed73d2ad986de7f7c77d919fa,13440.21
34d1ca11b242c0fee2c834ae8d788566,13422.24
7ddcbb64b5bc1ef36ca8c151f6ec77df,12686.3
00fc707aaaad2d31347cf883cd2dfe10,12684.9
75d34ebb1bd0bd7dde40dd507b8169c3,12426.34
